Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Weighted Sum
1,Warriors,21,12.6,4.5,-0.1,5.3,2.9,3.5,4.2,0.6,-0.2,4.1,0.6,4.9,5.5,7.4,1.2,1,0.4,1.4,80.8
2,Jazz,21,9.6,1.2,-4,3.5,4.4,9.3,3.3,2.6,2.9,1.9,0,4.8,4.7,0.7,0,1.4,2.3,-0.8,68.8
3,Suns,22,7.7,3.8,-1.2,4.9,-0.5,-4,2.8,0.6,0,3.2,-2.3,1.1,-1.1,4.1,1.6,0.5,-2.3,0,40.9
4,Bulls,23,4.4,3,1.9,2.4,-0.6,-3.1,1.5,-0.9,-1.6,2.1,-0.3,0,-0.3,2.1,0.4,-1.2,-1.8,1.3,32.3
5,Heat,22,4,2.3,2.4,1.5,-1.9,-6.2,0.4,1.3,0.9,2.8,1.5,2.2,3.8,1.5,0.3,-2.5,-1.4,0.6,35.5
6,Nets,21,4,0.7,-6,3.9,1.4,-2.3,6.3,1,1,0.7,-3,0.7,-2.2,3.5,-1,0.6,0.8,-1.2,29.9
7,Bucks,23,3.2,0.3,-3.1,1.8,1.1,-1,3.8,1.4,2.5,-2,-0.4,2.1,1.6,0.5,0,-0.3,0.4,-1.6,33.3
8,Hawks,22,2.6,0.9,-0.7,1.4,-0.7,-6,3.9,1.5,1.9,-0.1,0.4,2.4,2.8,-1.6,-0.5,-0.1,0,-2,28.1
9,Cavaliers,22,2.1,-0.7,-3.2,0.7,1,1.5,1.4,2.6,3.1,1.2,-0.2,1.9,1.7,0,-1.9,-0.5,1.7,-2,32.4
10,Celtics,22,1.6,0.6,1,0.2,-0.2,-0.3,-0.2,0.5,-0.3,3.5,0.7,0,0.8,1,0,0.8,0.6,-0.8,31.5
11,Timberwolves,22,1.1,1.2,4.5,-0.8,2.5,6,1.6,-3.9,-4.5,-1.5,0.7,-2.8,-2,-0.9,0.6,0.7,-1.4,3.1,26.2
12,Clippers,22,1,-0.5,-2.9,0.8,1,2,0.9,1.1,1.1,1.5,-1.9,0.3,-1.5,0.5,-1,0.5,-0.2,-1.5,23.2
13,Pacers,24,1,1.5,1.8,0.8,1.1,5.4,-2.1,-3.2,-4,-0.8,0.4,1.7,2.2,1.9,-0.9,1.5,0.7,2,35
14,76ers,22,0.9,0,-1,0.5,-0.2,-0.7,0,1.2,0.6,3.6,-1.5,-2.1,-3.6,-0.8,1.4,1.1,-1.1,0.4,20.7
15,Wizards,22,0.4,0.2,-3.7,2.2,0.3,1.6,-0.7,-0.4,-0.3,-0.7,-1.1,3,1.9,1.5,-1.5,1,2.5,-1.2,27
16,Knicks,22,-0.1,0,-2.1,0.9,0,-1.5,1.7,0,0.7,-3.1,-0.4,0.2,-0.1,-2.5,-0.5,1,1,0.2,17.4
17,Spurs,20,-0.2,2.1,2.7,0.9,-2.6,-7.1,-0.5,-1.8,-1,-6.6,-0.4,-1.4,-1.9,4.4,1.3,-0.3,-1.7,-1.5,4.4
18,Nuggets,21,-0.4,-0.1,0.9,-0.6,0.7,2,0,-0.9,-1.1,-0.2,-0.2,-1,-1.2,0.5,0.3,-0.9,0,0.3,19.1
19,Hornets,24,-0.5,0,1.8,-0.8,0.7,-2,4,-1.3,-0.8,-3.3,-0.4,-3.5,-3.9,0.2,1.2,0.3,-1.9,-0.2,13.6
20,Mavericks,20,-0.7,-1,2.1,-2.2,1.5,6.8,-2.3,-0.3,0.3,-3,0.8,-3.2,-2.4,-1.1,1.2,0,-1.7,0.6,15.4
21,Grizzlies,22,-0.8,0.7,4.5,-1.4,-1.6,-0.4,-4.1,-0.7,-0.8,-0.5,3,1.2,4.3,-0.3,2,0,-1.2,0.5,26.4
22,Raptors,23,-0.8,1,7.3,-2.4,-1.1,-1.6,-1.7,-1.8,-1.7,-2.5,2.8,-2.2,0.6,-3.1,2.9,-1.1,-3.7,2.3,16.2
23,Blazers,23,-1,-0.9,1.6,-1.9,0,2.4,-2.6,0.9,0,5.2,1.5,0.1,1.6,-2.5,0.5,0.4,-0.1,-0.1,28.1
24,Lakers,23,-1.6,0.2,-1.6,1,-1,-3.6,0.5,-0.9,-1.5,0.7,-1.5,-0.2,-1.7,-1.4,-0.2,2.4,-0.1,0.3,12.8
25,Kings,23,-3.3,-2.1,-2.5,-1,-0.2,0.6,-1.2,1.1,1.7,-0.9,-1.5,-1.3,-2.9,-0.7,-1,-0.8,0.8,-0.1,7.7
26,Pelicans,24,-7.5,-2.8,2.7,-4.6,-1.9,-1.7,-3.8,0,-1.1,4.8,2.5,-0.3,2.1,-0.7,-0.1,-1,0.9,0.7,12.2
27,Rockets,21,-7.9,-3.1,-4.8,-1.1,-0.7,-2.5,0.3,-0.9,1.5,-9,-0.5,0.1,-0.3,-1.4,-3.8,-1,4.5,-2,-11.6
28,Pistons,22,-9.6,-5,2.5,-7.1,-1.2,4.6,-8.2,1.6,1.5,2.4,1.5,-5.5,-3.9,-2.6,0,-0.4,-0.6,-0.6,-8.6
29,Thunder,22,-10,-3.9,-0.7,-4,-2.8,-1.4,-6,0.6,2.2,-6.1,0.1,-2.1,-2,-5.2,-1.1,-2.1,0.9,0,-21.6
30,Magic,23,-10.1,-3.9,-0.7,-4,-0.8,0.6,-2.8,-1.4,-2.2,0.9,-0.8,-1.3,-2.2,-3.8,-1.8,-1,1.9,1.2,-9.2
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
